BS,0.95,30,"[0.02, 0.19, 0.27, 0.52]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AD', 'TFT']",19
SH,0.95,30,"[0.16, 0.39, 0.34, 0.11]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",2
PD,0.95,30,"[0.57, 0.02, 0.31, 0.1]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],17
BS,0.99,30,"[0.17, 0.47, 0.24, 0.12]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.99,30,"[0.21, 0.23, 0.27, 0.3]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",2
PD,0.99,30,"[0.44, 0.16, 0.09, 0.32]",random,"('AC', 'AD', 'TFT', 'nTFT')",['AD'],3
BS,0.95,30,"[0.06, 0.16, 0.36, 0.42]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AD', 'TFT']",19
SH,0.95,30,"[0.23, 0.29, 0.15, 0.33]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",4
PD,0.95,30,"[0.17, 0.37, 0.34, 0.12]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],10
BS,0.99,30,"[0.41, 0.2, 0.36, 0.02]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.99,30,"[0.29, 0.27, 0.34, 0.1]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",2
PD,0.99,30,"[0.28, 0.33, 0.08, 0.31]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],16
BS,0.95,30,"[0.42, 0.38, 0.02, 0.17]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.95,30,"[0.12, 0.27, 0.07, 0.55]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],8
PD,0.95,30,"[0.24, 0.41, 0.13, 0.21]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],15
BS,0.99,30,"[0.39, 0.24, 0.3, 0.06]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.99,30,"[0.16, 0.34, 0.19, 0.32]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",4
PD,0.99,30,"[0.18, 0.03, 0.44, 0.35]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],10
BS,0.95,30,"[0.25, 0.36, 0.03, 0.35]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.95,30,"[0.21, 0.12, 0.33, 0.34]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",3
PD,0.95,30,"[0.27, 0.31, 0.33, 0.09]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],13
BS,0.99,30,"[0.4, 0.46, 0.04, 0.1]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.99,30,"[0.27, 0.18, 0.44, 0.11]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",1
PD,0.99,30,"[0.18, 0.28, 0.32, 0.23]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],13
BS,0.95,30,"[0.43, 0.03, 0.27, 0.28]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.95,30,"[0.41, 0.18, 0.02, 0.39]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",7
PD,0.95,30,"[0.51, 0.23, 0.2, 0.06]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],16
BS,0.99,30,"[0.46, 0.06, 0.05, 0.43]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.99,30,"[0.34, 0.18, 0.43, 0.05]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",1
PD,0.99,30,"[0.32, 0.27, 0.25, 0.16]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],17
BS,0.95,30,"[0.4, 0.21, 0.36, 0.03]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.95,30,"[0.05, 0.49, 0.23, 0.23]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],3
PD,0.95,30,"[0.4, 0.29, 0.28, 0.03]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],11
BS,0.99,30,"[0.25, 0.47, 0.22, 0.05]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.99,30,"[0.32, 0.22, 0.12, 0.33]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",3
PD,0.99,30,"[0.33, 0.03, 0.13, 0.51]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],17
BS,0.95,30,"[0.15, 0.1, 0.13, 0.63]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.95,30,"[0.34, 0.2, 0.2, 0.26]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",3
PD,0.95,30,"[0.04, 0.52, 0.27, 0.17]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],12
BS,0.99,30,"[0.46, 0.15, 0.36, 0.03]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.99,30,"[0.42, 0.36, 0.13, 0.08]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",2
PD,0.99,30,"[0.2, 0.38, 0.01, 0.41]",random,"('AC', 'AD', 'TFT', 'nTFT')",['AD'],2
BS,0.95,30,"[0.17, 0.04, 0.32, 0.48]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AD', 'TFT']",19
SH,0.95,30,"[0.53, 0.29, 0.03, 0.16]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",3
PD,0.95,30,"[0.38, 0.22, 0.26, 0.14]",random,"('AC', 'AD', 'TFT', 'nTFT')",['TFT'],16
BS,0.99,30,"[0.22, 0.47, 0.18, 0.13]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'AD', 'TFT']",19
SH,0.99,30,"[0.3, 0.27, 0.14, 0.29]",random,"('AC', 'AD', 'TFT', 'nTFT')","['AC', 'TFT']",4
